"Source","Quote"
"Max Caulfield","I'm good to flow... thanks."
"Max Caulfield","Just relax. Stop torturing yourself. You have 'a gift'."
"Max Caulfield","Chloe, I am awesome! We're awesome!"
"Max Caulfield","Fuck it."
"Max Caulfield","Okay girl, you don't get a photo op like this everyday..."
"Max Caulfield","I think both of us could use a hug."
"Max Caulfield","Ready for the mosh pit, shaka brah."
"Max Caulfield","Release the kra-can!"
"Max Caulfield","Eat shit and die"
"Max Caulfield","Blah, Blah, Blah....I'm so sick of hearing your voice now."
"Max Caulfield","Look at the trail of death you left behind!"
"Max Caulfield","I couldn't let you die."
"Max Caulfield","This is my storm... I caused this... I caused all of this."
"Max Caulfield","I changed fate and destiny so much that... I actually did alter the course of everything. And all I really created was just death and destruction!"
"Max Caulfield","I feel like I took this shot a thousand years ago."
"Max Caulfield","Fuck that! No way! You are my number one priority now. You are all that matters to me."
"Max Caulfield","Not anymore."
"Max Caulfield","Never."
"Michelle Grant","I knew you were my favorite new student for a reason."
"Nathan Prescott","You don't know who the fuck I am or who you're messing around with!"
"Nathan Prescott","Don't EVER tell me what to do. I'm so SICK of people trying to control me!"
"Nathan Prescott","Pussies can't fucking fight."
"Nathan Prescott","It's cool, Nathan... Don't stress... You're okay, bro. Just count to three..."
"Nathan Prescott","Don't be scared... You own this school... If I wanted, I could blow it up... You're the boss..."
"Nathan Prescott","Max Caulfield, right?"
"Nathan Prescott","You're one of the Jefferson's photo groupies..."
"Nathan Prescott","You best tell me what you told the Principal. Now."
"Nathan Prescott","Nobody tells me what to do."
"Nathan Prescott","No way. You again?"
"Nathan Prescott","Kate was loaded and playing the field-"
"Nathan Prescott","Hey, that's total slander! I could sue you and this school so fast!"
"Nathan Prescott","Holy shit, what do you want NOW?"
"Nathan Prescott","Everybody hates me...everybody..."
"Nathan Prescott","Max, It's... It's Nathan. I just wanted to say... I'm sorry. I didn't want to hurt Kate or Rachel, or... didn't wanted to hurt anybody. Everybody... used me. Mr. Jefferson... is coming for me now. All this shit will be over soon. Watch out, Max... He wants to hurt you next. Sorry."
"Nathan Prescott","What the fuck ever."
"Nathan Prescott","Whatever the Fuck?!"
"Nathan Prescott","Just because I'm mentally ill, doesn't mean I deserve to die, Max!"
"Nathan Prescott","Meow, bring out the claws! I love seeing chicks fight."
"Ray Wells","You look a little stressed out. Are you okay? Or have you done something wrong?"
"Ray Wells","I know this has been a stressful day."
"Ray Wells","I wish I had the power to change it all for the better... so thank you, for coming in."
"Stella Hill","I'd like to study this photo if you don't mind."
"Victoria Chase","Now, why don't you go fuck yourselfie?"
"Victoria Chase","BTW THANX BUT WERE NOT FRIENDS."
"Victoria Chase","HI WHORE I HOPE YOU ENJOYED THE PIC ITS YOUR LAST ONE."
"Victoria Chase","Now you're totally stuck in the retro zone. Sadface."
"Victoria Chase","Hello, are you even listening, Maxine?"
"Warren Graham","Get your ass over here!"
"Warren Graham","Go ape!"
"Warren Graham","Between the snow and eclipse!"
"Warren Graham","I'll always believe you."
"Warren Graham","you're the most amazing person I ever known."
"Warren Graham","That's why you're Super Max!"
"Warren Graham","Hey Max it's your man Warren."
"Warren Graham","I know I'm a pain the booty."
